,Input.image_url,Answer.category.label
1,all_views_2163.png,0
3,all_views_2164.png,0
5,all_views_1232.png,1
6,all_views_2167.png,0
8,all_views_1235.png,0
10,all_views_1237.png,0
18,all_views_2173.png,1
19,all_views_1465.png,1
20,all_views_1929.png,0
32,all_views_2179.png,1
37,all_views_1471.png,0
40,all_views_1699.png,0
41,all_views_1936.png,1
45,all_views_1008.png,1
48,all_views_2184.png,1
49,all_views_125.png,0
51,all_views_1009.png,0
53,all_views_1250.png,0
56,all_views_1941.png,1
57,all_views_1251.png,0
66,all_views_1479.png,0
76,all_views_171.png,0
84,all_views_195.png,0
85,all_views_1020.png,0
91,all_views_1711.png,0
93,all_views_1023.png,0
102,all_views_1953.png,0
103,all_views_1265.png,0
111,all_views_1492.png,1
113,all_views_1715.png,0
117,all_views_1031.png,0
121,all_views_1717.png,0
130,all_views_2204.png,1
133,all_views_1273.png,0
134,all_views_172.png,0
137,all_views_196.png,1
140,all_views_1721.png,0
141,all_views_1960.png,1
142,all_views_1037.png,1
143,all_views_2207.png,0
144,all_views_1276.png,1
145,all_views_15.png,0
150,all_views_1279.png,0
151,all_views_1501.png,0
155,all_views_1503.png,0
160,all_views_1967.png,0
161,all_views_1281.png,0
165,all_views_2211.png,0
167,all_views_1725.png,0
172,all_views_2213.png,0
175,all_views_1506.png,1
176,all_views_1727.png,0
182,all_views_1048.png,1
187,all_views_1508.png,1
188,all_views_1049.png,1
190,all_views_2217.png,0
193,all_views_1732.png,0
194,all_views_1509.png,0
195,all_views_1975.png,0
196,all_views_2219.png,0
206,all_views_1291.png,0
214,all_views_1978.png,0
219,all_views_1516.png,1
222,all_views_1056.png,1
227,all_views_1981.png,0
228,all_views_1519.png,1
230,all_views_1058.png,0
231,all_views_1297.png,1
232,all_views_2229.png,1
238,all_views_1061.png,0
241,all_views_1063.png,0
246,all_views_1064.png,0
249,all_views_2233.png,0
250,all_views_1301.png,1
252,all_views_1067.png,0
253,all_views_2235.png,0
258,all_views_1069.png,1
259,all_views_1991.png,0
261,all_views_2237.png,1
262,all_views_107.png,0
264,all_views_2239.png,0
267,all_views_1529.png,0
270,all_views_1995.png,0
280,all_views_1075.png,1
282,all_views_1532.png,1
283,all_views_2243.png,0
286,all_views_1533.png,0
289,all_views_1756.png,0
295,all_views_1757.png,0
298,all_views_1313.png,0
304,all_views_1539.png,1
306,all_views_1084.png,0
314,all_views_2007.png,0
316,all_views_1544.png,0
318,all_views_1764.png,1
322,all_views_1765.png,0
328,all_views_1548.png,0
333,all_views_1092.png,0
338,all_views_1322.png,0
339,all_views_1771.png,0
346,all_views_1096.png,1
348,all_views_2019.png,0
349,all_views_2259.png,0
358,all_views_1776.png,0
360,all_views_2021.png,0
364,all_views_133.png,1
368,all_views_1560.png,1
380,all_views_1333.png,0
385,all_views_1107.png,0
387,all_views_2268.png,1
391,all_views_2027.png,0
398,all_views_1785.png,0
400,all_views_2271.png,0
401,all_views_1787.png,0
404,all_views_2272.png,0
406,all_views_157.png,0
407,all_views_179.png,0
410,all_views_1791.png,0
411,all_views_1572.png,1
416,all_views_2028.png,0
417,all_views_1114.png,0
422,all_views_1796.png,1
423,all_views_1347.png,0
425,all_views_1117.png,0
430,all_views_1119.png,0
437,all_views_1577.png,0
439,all_views_2283.png,0
444,all_views_1350.png,0
451,all_views_2037.png,1
453,all_views_1351.png,0
456,all_views_1804.png,1
461,all_views_204.png,1
463,all_views_1584.png,1
468,all_views_1127.png,0
469,all_views_1807.png,0
475,all_views_2295.png,0
478,all_views_1588.png,1
479,all_views_1589.png,0
480,all_views_181.png,0
481,all_views_1357.png,0
492,all_views_1361.png,0
493,all_views_2300.png,1
496,all_views_1132.png,0
498,all_views_1817.png,0
499,all_views_2052.png,1
503,all_views_1820.png,1
506,all_views_1136.png,0
514,all_views_1824.png,1
515,all_views_2307.png,0
516,all_views_1363.png,0
517,all_views_1825.png,1
523,all_views_2309.png,0
527,all_views_1829.png,1
530,all_views_2311.png,0
532,all_views_1367.png,0
533,all_views_1831.png,0
535,all_views_1604.png,1
537,all_views_2312.png,1
538,all_views_1605.png,1
540,all_views_1832.png,1
544,all_views_1147.png,0
552,all_views_1372.png,1
555,all_views_161.png,1
559,all_views_1839.png,0
567,all_views_1613.png,0
572,all_views_1380.png,1
574,all_views_1616.png,1
575,all_views_1153.png,1
581,all_views_1845.png,1
593,all_views_2327.png,0
595,all_views_1623.png,1
599,all_views_1851.png,0
601,all_views_116.png,0
602,all_views_1853.png,0
604,all_views_2331.png,0
606,all_views_1855.png,0
611,all_views_1163.png,0
612,all_views_1628.png,1
615,all_views_1164.png,0
617,all_views_1391.png,0
623,all_views_1167.png,0
625,all_views_2335.png,0
626,all_views_1393.png,0
627,all_views_1631.png,0
633,all_views_2081.png,0
635,all_views_2337.png,1
636,all_views_2083.png,1
637,all_views_1633.png,0
641,all_views_2340.png,1
643,all_views_1868.png,1
645,all_views_117.png,0
649,all_views_1171.png,0
652,all_views_1636.png,1
653,all_views_1871.png,0
657,all_views_1173.png,0
667,all_views_2348.png,0
674,all_views_1179.png,0
679,all_views_118.png,0
681,all_views_1409.png,0
682,all_views_141.png,1
685,all_views_1411.png,0
694,all_views_2355.png,0
696,all_views_1185.png,0
704,all_views_1884.png,1
706,all_views_2359.png,0
709,all_views_1648.png,0
